	File name	condition	project	reference_condition	Strain	Mode of operation	Media	Limitation	C-source	Growth rate	DO	pH	Temperature	Read1	Read2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
yl_020	M10-V01-1A	Glucose_highDO_ph6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M10-V01-1A_1.fq.gz	ylipolytic2025_repeat/M10-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_highDO_ph6	True
yl_021	M10-V02-1A	Glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M10-V02-1A_1.fq.gz	ylipolytic2025_repeat/M10-V02-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_mediumDO_pH6	True
yl_022	M10-V03-1A	Glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M10-V03-1A_1.fq.gz	ylipolytic2025_repeat/M10-V03-1A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_lowDO_pH6	True
yl_023	M11-V01-1A	High glycerol_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M11-V01-1A_1.fq.gz	ylipolytic2025_repeat/M11-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:High glycerol_pH6	True
yl_024	M12-V01-1A	Glycerol_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M12-V01-1A_1.fq.gz	ylipolytic2025_repeat/M12-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_Nlimit_pH6	True
yl_025	M13-V01-1A	Glycerol_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M13-V01-1A_1.fq.gz	ylipolytic2025_repeat/M13-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_Plimit_pH6	True
yl_026	M15-V01-1A	Glycerol_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M15-V01-1A_1.fq.gz	ylipolytic2025_repeat/M15-V01-1A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_highDO_pH6	True
yl_027	M15-V03-1A	Glycerol_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	Low	6	30	ylipolytic2025_repeat/M15-V03-1A_1.fq.gz	ylipolytic2025_repeat/M15-V03-1A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_lowDO_pH6	True
yl_029	M1-V02-2A	High glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M1-V02-2A_1.fq.gz	ylipolytic2025_repeat/M1-V02-2A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_mediumDO_pH3	True
yl_030	M1-V03-2A	High glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M1-V03-2A_1.fq.gz	ylipolytic2025_repeat/M1-V03-2A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_lowDO_pH3	True
yl_031	M2-V01-2A	High glucose_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M2-V01-2A_1.fq.gz	ylipolytic2025_repeat/M2-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_highDO_pH6	True
yl_032	M2-V02-2A	High glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M2-V02-2A_1.fq.gz	ylipolytic2025_repeat/M2-V02-2A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_mediumDO_pH6	True
yl_033	M2-V03-2A	High glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M2-V03-2A_1.fq.gz	ylipolytic2025_repeat/M2-V03-2A_2.fq.gz	True	True	True	Batch_Shaken:High glucose_lowDO_pH6	True
yl_034	M3-V01-2A	Glucose_Nlimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M3-V01-2A_1.fq.gz	ylipolytic2025_repeat/M3-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Nlimit_pH3	True
yl_035	M4-V01-2A	Glucose_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M4-V01-2A_1.fq.gz	ylipolytic2025_repeat/M4-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Nlimit_pH6	True
yl_036	M6-V01-2A	Glucose_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M6-V01-2A_1.fq.gz	ylipolytic2025_repeat/M6-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Plimit_pH6	True
yl_037	M7-V01-2A	Glucose_Mglimit_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M7-V01-2A_1.fq.gz	ylipolytic2025_repeat/M7-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Mglimit_pH3	True
yl_038	M8-V01-2A	Glucose_Mglimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-Mg limited	Magnesium	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M8-V01-2A_1.fq.gz	ylipolytic2025_repeat/M8-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_Mglimit_pH6	True
yl_039	M9-V01-2A	Glucose_highDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	3	30	ylipolytic2025_repeat/M9-V01-2A_1.fq.gz	ylipolytic2025_repeat/M9-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_highDO_pH3	True
yl_040	M9-V02-2A	Glucose_mediumDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	3	30	ylipolytic2025_repeat/M9-V02-2A_1.fq.gz	ylipolytic2025_repeat/M9-V02-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_mediumDO_pH3	True
yl_041	M9-V03-2A	Glucose_lowDO_pH3	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	3	30	ylipolytic2025_repeat/M9-V03-2A_1.fq.gz	ylipolytic2025_repeat/M9-V03-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_lowDO_pH3	True
yl_042	M10-V01-2A	Glucose_highDO_ph6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	High	6	30	ylipolytic2025_repeat/M10-V01-2A_1.fq.gz	ylipolytic2025_repeat/M10-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_highDO_ph6	True
yl_043	M10-V02-2A	Glucose_mediumDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Medium	6	30	ylipolytic2025_repeat/M10-V02-2A_1.fq.gz	ylipolytic2025_repeat/M10-V02-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_mediumDO_pH6	True
yl_044	M10-V03-2A	Glucose_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glucose	0.3	Low	6	30	ylipolytic2025_repeat/M10-V03-2A_1.fq.gz	ylipolytic2025_repeat/M10-V03-2A_2.fq.gz	True	True	True	Batch_Shaken:Glucose_lowDO_pH6	True
yl_045	M11-V01-2A	High glycerol_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	High Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M11-V01-2A_1.fq.gz	ylipolytic2025_repeat/M11-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:High glycerol_pH6	True
yl_046	M12-V01-2A	Glycerol_Nlimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-N limited	Nitrogen	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M12-V01-2A_1.fq.gz	ylipolytic2025_repeat/M12-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_Nlimit_pH6	True
yl_047	M13-V01-2A	Glycerol_Plimit_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft-P limited	Phosphorus	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M13-V01-2A_1.fq.gz	ylipolytic2025_repeat/M13-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_Plimit_pH6	True
yl_049	M15-V01-2A	Glycerol_highDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	High	6	30	ylipolytic2025_repeat/M15-V01-2A_1.fq.gz	ylipolytic2025_repeat/M15-V01-2A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_highDO_pH6	True
yl_050	M15-V03-2A	Glycerol_lowDO_pH6	Batch_Shaken	Glucose_shaken_reference	W29	Shaken culture	Delft	Carbon	Glycerol	0.3	Low	6	30	ylipolytic2025_repeat/M15-V03-2A_1.fq.gz	ylipolytic2025_repeat/M15-V03-2A_2.fq.gz	True	True	True	Batch_Shaken:Glycerol_lowDO_pH6	True
yl_051	W29 S02 1 trans	µ0	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.0	40	6	30	ylipolytic2025_repeat/W29S02-1transA_1.fq.gz	ylipolytic2025_repeat/W29S02-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0	True
yl_052	W29 S02 2 trans	µ0	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.0	40	6	30	ylipolytic2025_repeat/W29S02-1transA_1.fq.gz	ylipolytic2025_repeat/W29S02-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0	True
yl_055	W29 S04 1 trans	µ0.1	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/W29S03-2transA_1.fq.gz	ylipolytic2025_repeat/W29S03-2transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.1	True
yl_056	W29 S04 2 trans	µ0.1	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/W29S04-1transA_1.fq.gz	ylipolytic2025_repeat/W29S04-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.1	True
yl_057	W29 S05 1 trans	µ0.15	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/W29S04-2transA_1.fq.gz	ylipolytic2025_repeat/W29S04-2transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.15	True
yl_058	W29 S05 2 trans	µ0.15	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/W29S05-1transA_1.fq.gz	ylipolytic2025_repeat/W29S05-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.15	True
yl_059	W29 S06 1 trans	µ0.2	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.2	40	6	30	ylipolytic2025_repeat/W29S05-2transA_1.fq.gz	ylipolytic2025_repeat/W29S05-2transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.2	True
yl_060	W29 S06 2 trans	µ0.2	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.2	40	6	30	ylipolytic2025_repeat/W29S06-1transA_1.fq.gz	ylipolytic2025_repeat/W29S06-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.2	True
yl_061	W29 S07 1 trans	µ0.25	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.25	40	6	30	ylipolytic2025_repeat/W29S06-2transA_1.fq.gz	ylipolytic2025_repeat/W29S06-2transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.25	True
yl_062	W29 S07 2 trans	µ0.25	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.25	40	6	30	ylipolytic2025_repeat/W29S07-1transA_1.fq.gz	ylipolytic2025_repeat/W29S07-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.25	True
yl_063	W29 S08 1 trans	µ0.3	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.3	40	6	30	ylipolytic2025_repeat/W29S07-2transA_1.fq.gz	ylipolytic2025_repeat/W29S07-2transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.3	True
yl_064	W29 S08 2 trans	µ0.3	Growth_Variance_W29	µ0.1	W29	Continuous	Delft	Carbon	Glucose	0.3	40	6	30	ylipolytic2025_repeat/W29S08-1transA_1.fq.gz	ylipolytic2025_repeat/W29S08-1transA_2.fq.gz	True	True	True	Growth_Variance_W29:µ0.3	True
yl_067	SUC S03 1 trans	µ0.05_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.05	40	6	30	ylipolytic2025_repeat/SUCS02-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS02-2transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.05_ST8712	True
yl_068	SUC S03 2 trans	µ0.05_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.05	40	6	30	ylipolytic2025_repeat/SUCS03-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS03-1transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.05_ST8712	True
yl_069	SUC S04 1 trans	µ0.075_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.075	40	6	30	ylipolytic2025_repeat/SUCS03-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS03-2transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.075_ST8712	True
yl_070	SUC S04 2 trans	µ0.075_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.075	40	6	30	ylipolytic2025_repeat/SUCS04-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS04-1transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.075_ST8712	True
yl_071	SUC S05 1 trans	µ0.1_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/SUCS04-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS04-2transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.1_ST8712	True
yl_072	SUC S05 2 trans	µ0.1_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.1	40	6	30	ylipolytic2025_repeat/SUCS05-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS05-1transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.1_ST8712	True
yl_073	SUC S06 1 trans	µ0.125_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.125	40	6	30	ylipolytic2025_repeat/SUCS05-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS05-2transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.125_ST8712	True
yl_074	SUC S06 2 trans	µ0.125_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.125	40	6	30	ylipolytic2025_repeat/SUCS06-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS06-1transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.125_ST8712	True
yl_075	SUC S07 1 trans	µ0.15_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/SUCS06-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS06-2transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.15_ST8712	True
yl_076	SUC S07 2 trans	µ0.15_ST8712	Growth_Variance_ST8712	µ0.1_ST8712	ST8712	Continuous	Delft	Carbon	Glucose	0.15	40	6	30	ylipolytic2025_repeat/SUCS07-1transA_1.fq.gz	ylipolytic2025_repeat/SUCS07-1transA_2.fq.gz	True	True	True	Growth_Variance_ST8712:µ0.15_ST8712	True
yl_077	PD017 A1 S02 #1	µ0.1_DO50	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	50	6	30	ylipolytic2025_repeat/SUCS07-2transA_1.fq.gz	ylipolytic2025_repeat/SUCS07-2transA_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO50	True
yl_078	PD017 A1 S02 #2	µ0.1_DO50	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	50	6	30	ylipolytic2025_repeat/PD017A1S021A_1.fq.gz	ylipolytic2025_repeat/PD017A1S021A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO50	True
yl_081	PD017 A1 S04 #1	µ0.1_DO10	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	10	6	30	ylipolytic2025_repeat/PD017A1S032A_1.fq.gz	ylipolytic2025_repeat/PD017A1S032A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO10	True
yl_082	PD017 A1 S04 #2	µ0.1_DO10	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	10	6	30	ylipolytic2025_repeat/PD017A1S041A_1.fq.gz	ylipolytic2025_repeat/PD017A1S041A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO10	True
yl_083	PD017 A1 S05 #1	µ0.1_DO5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	5	6	30	ylipolytic2025_repeat/PD017A1S042A_1.fq.gz	ylipolytic2025_repeat/PD017A1S042A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO5	True
yl_084	PD017 A1 S05 #2	µ0.1_DO5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	5	6	30	ylipolytic2025_repeat/PD017A1S051A_1.fq.gz	ylipolytic2025_repeat/PD017A1S051A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO5	True
yl_085	PD017 A1 S06 #1	µ0.1_DO2.5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	2.5	6	30	ylipolytic2025_repeat/PD017A1S052A_1.fq.gz	ylipolytic2025_repeat/PD017A1S052A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO2.5	True
yl_086	PD017 A1 S06 #2	µ0.1_DO2.5	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	2.5	6	30	ylipolytic2025_repeat/PD017A1S061A_1.fq.gz	ylipolytic2025_repeat/PD017A1S061A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO2.5	True
yl_087	PD017 A1 S07 #1	µ0.1_DO0	O2_oscillation_0.1	µ0.1_DO10	W29	Continuous	Delft	Carbon	Glucose	0.1	0	6	30	ylipolytic2025_repeat/PD017A1S062A_1.fq.gz	ylipolytic2025_repeat/PD017A1S062A_2.fq.gz	True	True	True	O2_oscillation_0.1:µ0.1_DO0	True
